#time,accel_x,accel_y,accel_z
300.346509,-296.082377,6513.812290,-76762.768900
300.348911,-148.041188,1184.329507,-78294.959896
300.351312,-3552.988522,-148.041188,-75537.016103
300.353714,7846.182985,-2812.782580,-74924.139704
300.356116,-2220.617826,8734.430116,-76609.549800
300.358518,-15248.242405,7550.100608,-77222.426198
300.360920,13027.624579,-3256.906145,-80746.465489
300.363322,-15396.283594,8882.471304,-71859.757712
300.365724,-14211.954086,13175.665768,-72625.853210
300.368126,27831.743419,-2960.823768,-80440.027290
300.370528,-5625.565159,14656.077652,-76609.549800
300.372930,-23834.631332,7254.018232,-73698.386908
300.375332,3701.029710,6809.894666,-75383.797003
300.377734,14656.077652,4737.318029,-77222.426198
300.380135,-23390.507767,10807.006753,-74004.825107
300.382537,9326.594869,11103.089130,-77528.864398
300.384939,18949.272115,16284.530724,-77069.207099
300.387341,-20133.601622,21021.848753,-74158.044206
300.389743,-26351.331535,17764.942608,-72166.195912
300.392145,21021.848753,5477.523971,-77835.302597
300.394547,16136.489536,17172.777854,-75690.235202
300.396949,-44264.315332,17024.736666,-69714.690318
300.399351,21169.889941,-2368.659014,-80133.589091
300.401753,9770.718434,4441.235652,-78294.959896
300.404155,-22502.260637,15100.201217,-70787.224015
300.406557,9918.759623,11103.089130,-77682.083497
300.408958,7698.141797,13471.748144,-78448.178995
300.411402,592.164754,17172.777854,-75843.454302
300.413845,-4885.359217,14656.077652,-72472.634111
300.416288,-4145.153275,4589.276840,-75537.016103
300.418731,2220.617826,9326.594869,-77375.645298
300.421174,5477.523971,9030.512492,-78907.836294
300.423617,-1776.494261,7105.977043,-75843.454302
300.426060,-740.205942,8290.306550,-73851.606007
300.428503,-1332.370696,9918.759623,-74311.263306
300.430946,-4589.276840,10658.965565,-76303.111601
300.433389,3256.906145,14211.954086,-76456.330700
300.435832,2812.782580,11695.253884,-76149.892501
300.438275,-3701.029710,10066.800811,-75537.016103
300.440718,-3701.029710,17764.942608,-73851.606007
300.443161,4589.276840,18801.230927,-75537.016103
300.445604,3701.029710,10214.842000,-77988.521696
300.448047,-8586.388927,13915.871710,-74158.044206
300.450490,1332.370696,19985.560434,-73545.167808
300.452934,-12139.377449,1924.535449,-75996.673402
300.455377,15396.283594,-1480.411884,-80593.246390
300.457820,6069.688724,20133.601622,-72779.072310
300.460263,-35677.926404,13767.830521,-72166.195912
300.462706,-3552.988522,16136.489536,-76303.111601
300.465149,24426.796086,2220.617826,-80746.465489
300.467592,-12583.501014,13915.871710,-73238.729609
300.470035,-7105.977043,7105.977043,-74924.139704
300.472478,32717.102636,-7846.182985,-83044.751983
300.474921,-26055.249158,5329.482782,-76149.892501
300.477364,-14952.160028,1628.453072,-74770.920605
300.479807,27387.619854,-5625.565159,-77528.864398
300.482250,3404.947333,9622.677246,-76609.549800
300.484693,-9770.718434,10658.965565,-74924.139704
300.487136,-19541.436869,12139.377449,-70634.004916
300.489579,22206.178260,15840.407159,-75996.673402
300.492022,-16284.530724,13323.706956,-75843.454302
300.494465,1184.329507,1036.288319,-77682.083497
300.496909,9178.553681,-148.041188,-77222.426198
300.499352,-6809.894666,3997.112087,-74617.701505
