#time,accel_x,accel_y,accel_z
156.251737,-15396.283594,12287.418637,-75690.235202
156.254254,-34049.473332,7846.182985,-72166.195912
156.256771,32865.143825,2072.576638,-80593.246390
156.259289,-4441.235652,13027.624579,-76303.111601
156.261806,-26055.249158,11251.130318,-71706.538613
156.264323,31532.773129,740.205942,-77988.521696
156.266841,1184.329507,12139.377449,-77988.521696
156.269358,-50482.045244,12731.542202,-72166.195912
156.271875,18801.230927,3849.070898,-77835.302597
156.274393,25611.125593,3997.112087,-78754.617194
156.276925,-26647.413912,9622.677246,-75077.358804
156.279457,-1036.288319,6217.729913,-75843.454302
156.281990,14211.954086,8438.347739,-77069.207099
156.284522,-16728.654289,10510.924376,-75843.454302
156.287054,-10658.965565,7254.018232,-76149.892501
156.289587,6513.812290,6513.812290,-76915.987999
156.292119,1628.453072,9178.553681,-75843.454302
156.294651,-9326.594869,8142.265362,-76149.892501
156.297184,-7994.224174,6957.935855,-75383.797003
156.299716,4293.194464,8586.388927,-76149.892501
156.302248,-6513.812290,8734.430116,-77222.426198
156.304780,-21169.889941,6365.771101,-77069.207099
156.307313,6809.894666,7994.224174,-75996.673402
156.309845,7402.059420,9622.677246,-76456.330700
156.312377,-9918.759623,7402.059420,-76303.111601
156.314910,-15396.283594,8734.430116,-77222.426198
156.317442,7105.977043,6661.853478,-76762.768900
156.319974,1628.453072,6661.853478,-77069.207099
156.322507,-27979.784608,10214.842000,-75230.577904
156.325039,-6365.771101,9030.512492,-75690.235202
156.327571,8438.347739,5477.523971,-79061.055394
156.330104,10807.006753,11251.130318,-76149.892501
156.332636,-44264.315332,10362.883188,-72319.415011
156.335168,49741.839302,2812.782580,-77988.521696
156.337701,-11103.089130,10362.883188,-76456.330700
156.340233,-22502.260637,10362.883188,-74158.044206
156.342765,44560.397708,888.247130,-80593.246390
156.345298,13619.789333,10066.800811,-77682.083497
156.347830,-38490.708984,15988.448347,-73391.948708
156.350362,-10214.842000,2664.741391,-76149.892501
156.352895,45448.644839,5033.400406,-80286.808190
156.355427,-22650.301825,11103.089130,-74617.701505
156.357959,-8438.347739,8290.306550,-74464.482406
156.360492,34937.720462,5625.565159,-79061.055394
156.363024,-17616.901420,11399.171507,-74311.263306
156.365556,1480.411884,8290.306550,-75230.577904
156.368089,22650.301825,3701.029710,-77835.302597
156.370621,0.000000,7994.224174,-77222.426198
156.373153,-2812.782580,9178.553681,-76609.549800
156.375686,-5181.441594,9326.594869,-75383.797003
156.378231,-3108.864956,9622.677246,-74311.263306
156.380775,2368.659014,7105.977043,-76456.330700
156.383320,13027.624579,6069.688724,-77835.302597
156.385865,9622.677246,9770.718434,-75996.673402
156.388410,-148.041188,9030.512492,-75383.797003
156.390955,15100.201217,7254.018232,-76915.987999
156.393499,-9918.759623,7550.100608,-76149.892501
156.396044,-1480.411884,7105.977043,-77222.426198
156.398589,2220.617826,7402.059420,-76609.549800
156.401134,7254.018232,8882.471304,-76456.330700
156.403679,-1480.411884,7698.141797,-75690.235202
156.406224,13471.748144,6957.935855,-77069.207099
156.408768,24426.796086,10214.842000,-77528.864398
156.411313,-42931.944636,8142.265362,-73698.386908
156.413858,27239.578666,2664.741391,-79214.274493
156.416403,-6809.894666,4737.318029,-77835.302597
156.418948,-14211.954086,14952.160028,-73545.167808
156.421492,-28127.825796,3552.988522,-75690.235202
156.424037,41303.491564,10658.965565,-77682.083497
156.426582,-28423.908173,10214.842000,-75077.358804
156.429127,-21317.931130,8438.347739,-75230.577904
156.431672,24722.878463,2812.782580,-80133.589091
156.434217,-4737.318029,9030.512492,-74464.482406
156.436761,-28571.949361,8438.347739,-71706.538613
156.439306,41007.409187,8142.265362,-80440.027290
156.441851,-28571.949361,10510.924376,-76609.549800
156.444396,-20873.807564,10214.842000,-73238.729609
156.446941,10214.842000,7698.141797,-75690.235202
156.449485,8142.265362,5033.400406,-79214.274493
156.452030,-23982.672521,10658.965565,-74004.825107
156.454575,7402.059420,6661.853478,-76762.768900
156.457120,-592.164754,8438.347739,-77222.426198
156.459665,-10658.965565,8438.347739,-76149.892501
156.462209,-148.041188,7550.100608,-75230.577904
156.464754,-10955.047942,10214.842000,-75996.673402
156.467299,1184.329507,6957.935855,-76762.768900
156.469844,-4441.235652,6513.812290,-76149.892501
156.472389,-9030.512492,8734.430116,-75230.577904
156.474934,-5181.441594,9326.594869,-75690.235202
156.477478,5921.647536,5477.523971,-78601.398095
156.480030,-5329.482782,8586.388927,-75383.797003
156.482582,-16432.571912,10066.800811,-75230.577904
156.485134,15396.283594,3997.112087,-78907.836294
156.487686,-26203.290347,11843.295072,-74004.825107
156.490238,8586.388927,8142.265362,-75843.454302
156.492791,15988.448347,4441.235652,-78601.398095
156.495343,-36714.214723,13175.665768,-71706.538613
156.497895,-30200.402434,11843.295072,-74464.482406
156.500447,32569.061448,2072.576638,-79520.712692
156.502999,-7846.182985,10362.883188,-77069.207099
156.505551,-10362.883188,10362.883188,-73238.729609
156.508103,33457.308578,3404.947333,-80746.465489
156.510655,-2664.741391,13175.665768,-74770.920605
156.513207,-30348.443622,10807.006753,-71706.538613
156.515759,46040.809592,1776.494261,-79520.712692
156.518311,-13915.871710,11843.295072,-77375.645298
156.520863,-42191.738694,15692.365970,-69408.252119
156.523415,4737.318029,9622.677246,-75077.358804
156.525967,31680.814318,296.082377,-81818.999186
156.528519,-31088.649564,14656.077652,-72779.072310
156.531071,14063.912898,6217.729913,-76609.549800
156.533623,25463.084405,6217.729913,-79367.493593
156.536175,-15544.324782,12879.583391,-73391.948708
156.538727,5477.523971,9030.512492,-74770.920605
156.541279,9622.677246,5033.400406,-77682.083497
156.543831,5033.400406,8438.347739,-78294.959896
156.546383,6957.935855,7550.100608,-76149.892501
156.548935,-9326.594869,11399.171507,-72166.195912
156.551487,5477.523971,8586.388927,-75996.673402
156.554039,12731.542202,4145.153275,-79214.274493
156.556591,8142.265362,9474.636058,-74770.920605
156.559143,9178.553681,9326.594869,-75383.797003
156.561695,-444.123565,9030.512492,-77069.207099
156.564247,-17616.901420,7105.977043,-75383.797003
156.566799,-444.123565,7846.182985,-76149.892501
156.569351,14952.160028,6217.729913,-76456.330700
156.571903,8586.388927,11695.253884,-75996.673402
156.574455,-5921.647536,9326.594869,-74924.139704
156.577007,32569.061448,5033.400406,-77835.302597
156.579559,1776.494261,15100.201217,-76456.330700
156.582117,-34345.555709,7698.141797,-72472.634111
156.584674,13027.624579,2072.576638,-78601.398095
156.587232,3108.864956,10362.883188,-75996.673402
156.589789,-47669.262665,6365.771101,-74158.044206
156.592347,42487.821071,4589.276840,-79980.369991
156.594905,-8290.306550,9474.636058,-76762.768900
156.597462,-39378.956114,16728.654289,-72625.853210
156.600020,-13027.624579,5625.565159,-76915.987999
156.602577,39378.956114,2072.576638,-78754.617194
156.605135,-43820.191766,14804.118840,-72472.634111
156.607693,-2812.782580,5625.565159,-77835.302597
156.610250,21317.931130,1924.535449,-80899.684589
156.612808,-27239.578666,15544.324782,-72779.072310
156.615365,-3849.070898,8438.347739,-73391.948708
156.617923,17024.736666,3701.029710,-79827.150892
156.620481,-20429.683999,11399.171507,-74464.482406
156.623038,-9326.594869,8438.347739,-75843.454302
156.625596,1332.370696,5181.441594,-76303.111601
156.628153,-4441.235652,8438.347739,-75383.797003
156.630711,-5181.441594,10807.006753,-74617.701505
156.633268,-12731.542202,7550.100608,-76609.549800
156.635826,1776.494261,7254.018232,-77682.083497
156.638384,-1036.288319,9030.512492,-75843.454302
156.640941,-5033.400406,9622.677246,-76149.892501
156.643499,2516.700203,8142.265362,-77835.302597
156.646056,-6661.853478,7105.977043,-76456.330700
156.648614,-22206.178260,7402.059420,-74924.139704
156.651172,2516.700203,7105.977043,-76915.987999
156.653729,22354.219448,7550.100608,-79061.055394
156.656287,-31828.855506,13175.665768,-74004.825107
156.658844,10362.883188,3701.029710,-77069.207099
156.661402,10658.965565,6957.935855,-79520.712692
156.663959,-31532.773129,14063.912898,-73238.729609
156.666517,-21317.931130,6661.853478,-74464.482406
156.669075,55663.486838,3701.029710,-82125.437386
156.671632,-40859.367998,12583.501014,-70021.128517
156.674190,-26203.290347,13027.624579,-72166.195912
156.676747,52110.498317,1332.370696,-80133.589091
156.679305,13323.706956,8290.306550,-78754.617194
156.681863,-51666.374752,13323.706956,-70634.004916
156.684425,49593.798114,-2664.741391,-80593.246390
156.686988,-148.041188,11695.253884,-75843.454302
156.689550,-25611.125593,13619.789333,-72472.634111
156.692113,25018.960840,1924.535449,-79673.931792
156.694676,7402.059420,8882.471304,-77069.207099
156.697238,-30496.484810,11251.130318,-71706.538613
156.699801,8290.306550,4885.359217,-77222.426198
156.702363,24130.713709,3108.864956,-79061.055394
156.704926,-1628.453072,10362.883188,-74770.920605
156.707488,-6513.812290,9178.553681,-75383.797003
156.710051,-2516.700203,8142.265362,-77222.426198
156.712614,6513.812290,5921.647536,-76915.987999
156.715176,9178.553681,9178.553681,-75383.797003
156.717739,-5773.606348,9030.512492,-74924.139704
156.720301,24130.713709,7698.141797,-78141.740796
156.722864,2664.741391,9474.636058,-76149.892501
156.725427,-22058.137072,8438.347739,-74617.701505
156.727989,-4441.235652,4737.318029,-77835.302597
156.730552,12139.377449,7254.018232,-76915.987999
156.733114,-10955.047942,8586.388927,-73851.606007
156.735677,21021.848753,6957.935855,-77682.083497
156.738240,14804.118840,9474.636058,-78754.617194
156.740802,-19393.395680,4885.359217,-73851.606007
156.743365,42043.697506,10807.006753,-78448.178995
156.745927,-29164.114115,7846.182985,-74004.825107
156.748490,-14656.077652,13619.789333,-73545.167808
156.751052,14359.995275,5033.400406,-76762.768900
156.753615,-888.247130,11399.171507,-76915.987999
156.756178,-35677.926404,8438.347739,-72932.291410
156.758740,28275.866984,3701.029710,-79980.369991
156.761303,-5329.482782,11251.130318,-77222.426198
156.763865,-29904.320057,11103.089130,-72319.415011
156.766428,35529.885216,2664.741391,-78907.836294
156.768991,-13027.624579,10510.924376,-77222.426198
156.771553,-39230.914926,12731.542202,-73238.729609
156.774116,-3552.988522,6661.853478,-77222.426198
156.776678,14211.954086,5921.647536,-76915.987999
156.779241,-17764.942608,9178.553681,-75383.797003
156.781804,4885.359217,7550.100608,-74924.139704
156.784366,5773.606348,7402.059420,-77528.864398
156.786930,-13619.789333,11399.171507,-76456.330700
156.789495,6217.729913,6661.853478,-77528.864398
156.792059,-11251.130318,6365.771101,-74464.482406
156.794623,-10807.006753,10066.800811,-75690.235202
156.797188,-2220.617826,7698.141797,-77528.864398
156.799752,-888.247130,7105.977043,-76762.768900
156.802316,7994.224174,9178.553681,-75843.454302
156.804881,-2664.741391,8882.471304,-75230.577904
156.807445,-13619.789333,6513.812290,-77682.083497
156.810009,-28868.031738,10214.842000,-75230.577904
156.812574,12287.418637,6217.729913,-75690.235202
156.815138,6809.894666,4293.194464,-77222.426198
156.817702,-21465.972318,13767.830521,-74617.701505
156.820267,26351.331535,3849.070898,-79673.931792
156.822831,11103.089130,6365.771101,-78448.178995
156.825395,-14656.077652,10510.924376,-75230.577904
156.827960,-39378.956114,10807.006753,-72166.195912
156.830524,58920.392983,2960.823768,-80746.465489
156.833088,-32421.020260,11399.171507,-72012.976812
156.835653,0.000000,9770.718434,-75996.673402
156.838217,59512.557737,2072.576638,-80440.027290
156.840781,-22058.137072,13027.624579,-73851.606007
156.843346,-27387.619854,12287.418637,-72625.853210
156.845910,52258.539505,-5033.400406,-82125.437386
156.848474,8438.347739,7254.018232,-77528.864398
156.851039,-21910.095883,14804.118840,-72012.976812
156.853603,14952.160028,3701.029710,-77988.521696
156.856167,16876.695478,8586.388927,-79061.055394
156.858732,-25463.084405,12287.418637,-73391.948708
156.861296,17172.777854,2960.823768,-78141.740796
156.863860,7994.224174,8438.347739,-77528.864398
156.866424,888.247130,11103.089130,-74004.825107
156.868989,5033.400406,7105.977043,-76762.768900
156.871553,-592.164754,6809.894666,-76609.549800
156.874117,-592.164754,9030.512492,-74924.139704
156.876682,10066.800811,9178.553681,-75077.358804
156.879246,9622.677246,6069.688724,-76149.892501
156.881810,1036.288319,9474.636058,-75996.673402
156.884375,-2220.617826,6809.894666,-76915.987999
156.886939,1480.411884,8586.388927,-76456.330700
156.889505,-4145.153275,9918.759623,-75843.454302
156.892071,11991.336260,3701.029710,-75537.016103
156.894638,10214.842000,10214.842000,-76609.549800
156.897204,1036.288319,11103.089130,-76149.892501
156.899770,2220.617826,6069.688724,-75690.235202
